,Run,Gen,PC,Score,Score4
361,1.0,121.0,1.0,0.7,1.0
362,1.0,121.0,2.0,0.6,0.25
363,1.0,122.0,0.0,0.8,1.0
364,1.0,122.0,1.0,0.7,1.0
365,1.0,122.0,2.0,0.6,0.25
366,1.0,123.0,0.0,0.8,1.0
367,1.0,123.0,1.0,0.7,1.0
368,1.0,123.0,2.0,0.6,0.25
369,1.0,124.0,0.0,0.8,1.0
370,1.0,124.0,1.0,0.7,1.0
371,1.0,124.0,2.0,0.6,0.25
372,1.0,125.0,0.0,0.8,1.0
373,1.0,125.0,1.0,0.7,1.0
374,1.0,125.0,2.0,0.6,0.25
375,1.0,126.0,0.0,0.8,1.0
376,1.0,126.0,1.0,0.7,1.0
377,1.0,126.0,2.0,0.6,0.25
378,1.0,127.0,0.0,0.8,1.0
379,1.0,127.0,1.0,0.7,1.0
380,1.0,127.0,2.0,0.6,0.25
381,1.0,128.0,0.0,0.8,1.0
382,1.0,128.0,1.0,0.7,1.0
383,1.0,128.0,2.0,0.6,0.25
384,1.0,129.0,0.0,0.8,1.0
385,1.0,129.0,1.0,0.7,1.0
386,1.0,129.0,2.0,0.6,0.25
387,1.0,130.0,0.0,0.8,1.0
388,1.0,130.0,1.0,0.7,1.0
389,1.0,130.0,2.0,0.6,0.25
390,1.0,131.0,0.0,0.8,1.0
391,1.0,131.0,1.0,0.7,1.0
392,1.0,131.0,2.0,0.6,0.25
393,1.0,132.0,0.0,0.8,1.0
394,1.0,132.0,1.0,0.7,1.0
395,1.0,132.0,2.0,0.6,0.25
396,1.0,133.0,0.0,0.8,1.0
397,1.0,133.0,1.0,0.7,1.0
398,1.0,133.0,2.0,0.6,0.25
399,1.0,134.0,0.0,0.8,1.0
400,1.0,134.0,1.0,0.7,1.0
401,1.0,134.0,2.0,0.6,0.25
402,1.0,135.0,0.0,0.8,1.0
403,1.0,135.0,1.0,0.7,1.0
404,1.0,135.0,2.0,0.6,0.25
405,1.0,136.0,0.0,0.8,1.0
406,1.0,136.0,1.0,0.7,1.0
407,1.0,136.0,2.0,0.6,0.25
408,1.0,137.0,0.0,0.8,1.0
409,1.0,137.0,1.0,0.7,1.0
410,1.0,137.0,2.0,0.6,0.25
411,1.0,138.0,0.0,0.8,1.0
412,1.0,138.0,1.0,0.7,1.0
413,1.0,138.0,2.0,0.6,0.25
414,1.0,139.0,0.0,0.8,1.0
415,1.0,139.0,1.0,0.7,1.0
416,1.0,139.0,2.0,0.6,0.25
417,1.0,140.0,0.0,0.8,1.0
418,1.0,140.0,1.0,0.7,1.0
419,1.0,140.0,2.0,0.6,0.25
420,1.0,141.0,0.0,0.8,1.0
421,1.0,141.0,1.0,0.7,1.0
422,1.0,141.0,2.0,0.6,0.25
423,1.0,142.0,0.0,0.8,1.0
424,1.0,142.0,1.0,0.7,1.0
425,1.0,142.0,2.0,0.6,0.25
426,1.0,143.0,0.0,0.8,1.0
427,1.0,143.0,1.0,0.7,1.0
428,1.0,143.0,2.0,0.6,0.25
429,1.0,144.0,0.0,0.8,1.0
430,1.0,144.0,1.0,0.7,1.0
431,1.0,144.0,2.0,0.6,0.25
432,1.0,145.0,0.0,0.8,1.0
433,1.0,145.0,1.0,0.7,1.0
434,1.0,145.0,2.0,0.6,0.25
435,1.0,146.0,0.0,0.8,1.0
436,1.0,146.0,1.0,0.7,1.0
