,Run,Gen,PC,Score,Score4
513,91.0,172.0,0.0,0.62,0.67
514,91.0,172.0,1.0,0.636,0.695
515,91.0,172.0,2.0,0.6,0.645
516,91.0,173.0,0.0,0.62,0.67
517,91.0,173.0,1.0,0.636,0.695
518,91.0,173.0,2.0,0.6,0.645
519,91.0,174.0,0.0,0.62,0.67
520,91.0,174.0,1.0,0.628,0.695
521,91.0,174.0,2.0,0.6,0.65
522,91.0,175.0,0.0,0.62,0.67
523,91.0,175.0,1.0,0.628,0.695
524,91.0,175.0,2.0,0.6,0.65
525,91.0,176.0,0.0,0.62,0.67
526,91.0,176.0,1.0,0.628,0.695
527,91.0,176.0,2.0,0.6,0.65
528,91.0,177.0,0.0,0.614,0.66
529,91.0,177.0,1.0,0.614,0.66
530,91.0,177.0,2.0,0.594,0.65
531,91.0,178.0,0.0,0.614,0.66
532,91.0,178.0,1.0,0.614,0.66
533,91.0,178.0,2.0,0.594,0.65
534,91.0,179.0,0.0,0.614,0.66
535,91.0,179.0,1.0,0.614,0.66
536,91.0,179.0,2.0,0.594,0.65
537,91.0,180.0,0.0,0.614,0.66
538,91.0,180.0,1.0,0.614,0.66
539,91.0,180.0,2.0,0.594,0.65
540,91.0,181.0,0.0,0.614,0.66
541,91.0,181.0,1.0,0.614,0.66
542,91.0,181.0,2.0,0.594,0.65
543,91.0,182.0,0.0,0.614,0.66
544,91.0,182.0,1.0,0.614,0.66
545,91.0,182.0,2.0,0.594,0.65
546,91.0,183.0,0.0,0.606,0.655
547,91.0,183.0,1.0,0.598,0.645
548,91.0,183.0,2.0,0.59,0.655
549,91.0,184.0,0.0,0.606,0.655
550,91.0,184.0,1.0,0.598,0.645
551,91.0,184.0,2.0,0.59,0.655
552,91.0,185.0,0.0,0.612,0.665
553,91.0,185.0,1.0,0.592,0.64
554,91.0,185.0,2.0,0.584,0.655
555,91.0,186.0,0.0,0.616,0.665
556,91.0,186.0,1.0,0.592,0.635
557,91.0,186.0,2.0,0.592,0.655
558,91.0,187.0,0.0,0.616,0.675
559,91.0,187.0,1.0,0.588,0.63
560,91.0,187.0,2.0,0.592,0.655
561,91.0,188.0,0.0,0.616,0.675
562,91.0,188.0,1.0,0.588,0.63
